6753132,-0.42,0.82,62.76
6780192,-0.43,0.81,63.08
6807208,-0.44,0.91,63.34
6834276,-0.43,0.83,63.62
6861300,-0.45,0.91,63.87
6888336,-0.44,0.84,64.09
6915384,-0.37,0.79,64.30
6942412,-0.46,0.75,64.39
6969464,-0.49,0.84,64.32
6996500,-0.48,0.72,64.29
7023544,-0.42,0.87,64.29
7050600,-0.46,0.87,64.29
7077628,-0.46,0.82,64.33
7104668,-0.37,0.77,64.27
7131696,-0.43,0.68,64.04
7158756,-0.47,0.86,63.69
7185784,-0.46,0.95,63.42
7212820,-0.43,0.84,63.18
7239884,-0.42,0.76,62.92
7266904,-0.47,0.83,62.56
7293944,-0.42,0.82,62.10
7320996,-0.50,0.86,61.66
7348016,-0.47,0.82,61.22
7375064,-0.52,0.86,60.72
7402092,-0.44,0.81,60.14
7429156,-0.46,0.80,59.49
7456184,-0.50,0.82,58.87
7483216,-0.55,0.83,58.22
7510268,-0.55,0.73,57.50
7537296,-0.55,0.74,56.70
7564344,-0.57,0.75,55.86
7591400,-0.59,0.82,55.07
7618404,-0.59,0.73,54.22
7645452,-0.60,0.70,53.26
7672488,-0.62,0.76,52.33
7699532,-0.62,0.78,51.31
7726568,-0.61,0.69,50.30
7753612,-0.63,0.62,49.28
7780652,-0.64,0.61,48.07
7807688,-0.70,0.72,46.95
7834736,-0.74,0.70,45.72
7861780,-0.76,0.66,44.53
7888812,-0.76,0.61,43.44
7915856,-0.78,0.64,42.34
7942892,-0.75,0.57,41.30
7969936,-0.77,0.64,40.35
7996984,-0.77,0.58,39.37
8024024,-0.78,0.58,38.39
8051064,-0.78,0.60,37.55
8078100,-0.80,0.59,36.74
8105140,-0.78,0.53,35.96
8132172,-0.73,0.69,35.35
8159216,-0.78,0.38,34.66
8186276,-0.83,0.35,33.80
8213308,-0.82,0.45,32.78
8240340,-0.90,0.56,31.79
